url,title,description,director,stars,year,runtime,genre,rating,imdb_score,metascore,gross
https://www.imdb.com/title/tt16676408/,Blood Curse,"The families of two people are terrorized by black magic attacks. To protect their loved ones, they go after the culprit behind the mystical events.",,"Mikha Tambayong, Deva Mahenra, Justin Adiwinata, Ence Bagus",2023,49,"Fantasy, Horror, Thriller",TV-MA,7.6,,
https://www.imdb.com/title/tt23136186/,Sewu Dino,"Sri is tasked to do a cleansing ritual for Dela Atmojo, an unconscious girl who is suffering from 1000 days-hex. The terror begins when her friend neglects to finish the ritual. Failing until the 1000th day will result in their demise.",Kimo Stamboel,"Mikha Tambayong, Rio Dewanto, Givina Lukita, Agla Artalidia",2023,121,Horror,13+,6.6,,
https://www.imdb.com/title/tt27161665/,Losmen Melati,"Inn guests uncover the dark past and sinister plans of Madam Melati, the mysterious owner of Melati Inn.",,"Alexandra Gottardo, Fandy Christian, Dwi Sasono, Kiki Narendra",2023,,"Horror, Mystery, Thriller",17+,,,
https://www.imdb.com/title/tt0095483/,Lady Terminator,"The spirit of an ancient evil queen posesses the body of a young anthropological student, who then goes on a murderous rampage.",H. Tjut Djalil,"Barbara Anne Constable, Christopher J. Hart, Claudia Angelique Rademaker, Joseph P. McGlynn",1989,82,"Action, Drama, Fantasy",Unrated,5.5,,
https://www.imdb.com/title/tt21154728/,Tainted Soul,A teenager with the uncanny ability to communicate with the dead must stop a vengeful demon who's exacting revenge on students at his high school.,Ginanti Rona,"Emir Mahira, Zee JKT48, Andrew Barret, Angel Sianturi",2022,106,Horror,13+,5.9,,
https://www.imdb.com/title/tt10656212/,Buya Hamka Vol. 1,"This sweeping biopic captures the life of renowned Muslim scholar Buya Hamka, from his humble West Sumatra origins to his political achievements.",Fajar Bustomi,"Vino G. Bastian, Laudya Cynthia Bella, Donny Damara, Desy Ratnasari",2023,106,"Biography, Drama, History",TV-14,6.8,,
https://www.imdb.com/title/tt1368116/,Merantau,A young man from the countryside uses his skills in silat martial arts to survive the slave trade.,Gareth Evans,"Iko Uwais, Sisca Jessica, Christine Hakim, Mads Koudal",2009,134,"Action, Drama",R,6.7,,
https://www.imdb.com/title/tt10896728/,Pretty Little Liars,"Indonesian teen drama based on the American TV series 'Pretty Little Liars', centering on the lives of four female students whose clique falls apart when their leader goes mysteriously missing.",,"Yuki Kato, Anya Geraldine, Caitlin Halderman, Shindy Huang",2019,45,"Drama, Mystery, Romance",13+,7.2,,
https://www.imdb.com/title/tt21146854/,Catatan Si Boy,"Boy, a perfect student, faces heartbreak and confusion when his beloved girlfriend disappears, leading to a new romance that is threatened by the return of his ex-girlfriend.",Hanung Bramantyo,"Angga Yunanda, Syifa Hadju, Arya Vasco, Rebecca Klopper",2023,126,"Drama, Romance",13+,5.9,,
https://www.imdb.com/title/tt28080971/,Primbon,"Amidst a mountain climbing trip, Rana goes missing, but miraculously returns home, causing a conflict between her mother's belief in her survival and the superstitious extended family.",Rudy Soedjarwo,"Happy Salma, Nugie, Flavio Zaviera, Chicco Kurniawan",2023,88,"Drama, Horror",13+,6.7,,
https://www.imdb.com/title/tt1447791/,Macabre,"Two newly weds Adjie and Astrid, along with 3 of their best friends decided to have an interstate road trip as a last attempt to reconcile Adjie with his estranged little sister Ladya. ...","Kimo Stamboel, Timo Tjahjanto","Shareefa Daanish, Julie Estelle, Ario Bayu, Sigi Wimala",2009,95,"Drama, Horror, Thriller",Not Rated,6.4,,
https://www.imdb.com/title/tt15215918/,"Before, Now & Then","Nana, a gentle, beautiful young woman, escapes a violent anti-communist purge. Afterwards she lives comfortably as the second wife of a rich Sundanese man but her past re-emerges in her dreams.",Kamila Andini,"Happy Salma, Laura Basuki, Arswendy Bening Swara, Ibnu Jamil",2022,103,"Drama, History",16+,6.6,70,
https://www.imdb.com/title/tt2171847/,Dead Mine,"The legend of Yamashita's Gold lures a treasure hunter and his group deep into the Indonesian jungle. Once they are trapped in an abandoned World War II Japanese bunker, they face the terrifying reality that the only way out is to go further in.",Steven Sheil,"Miki Mizuno, Sam Hazeldine, Ario Bayu, Les Loveday",2012,87,"Action, Horror",Not Rated,4.5,,
https://www.imdb.com/title/tt18436986/,Qodrat,"Villagers around the Kahuripan Islamic Boarding School experienced many disturbances, from crop failure to possession. What happened?","Charles Gozali, Imron Ayikayu","Vino G. Bastian, Marsha Timothy, Maudy Effrosina, Randy Pangalila",2022,102,"Action, Drama, Fantasy",17+,6.4,,
https://www.imdb.com/title/tt15711508/,Hitmen,"A full peek to a day in the life of Jonny and Franky, two best friends who got cornered into doing three missions out of their work principle and value, in order to retire from their job as hitmen.","Anggy Umbara, Kemal Al Giffari, Bagus Iman","Vino G. Bastian, Abdur Arsyad, Brisia Jodie, Anggika Bolsterli",2023,96,"Action, Comedy, Drama",18+,6.6,,
https://www.imdb.com/title/tt17497250/,Perfect Strangers,Seven friends who attend a dinner and decide to play a game with their cell phones which culminate in disaster when their dark secret is revealed.,Rako Prijanto,"Vino G. Bastian, Adipati Dolken, Jessica Mila, Denny Sumargo",2022,125,"Comedy, Drama",13+,7.5,,
https://www.imdb.com/title/tt9044128/,Suzzanna: Buried Alive,"After a pregnant woman is murdered, her spirit seeks revenge against her increasingly terrified killers, who are determined to finish her off for good.","Rocky Soraya, Anggy Umbara","Luna Maya, Herjunot Ali, T. Rifnu Wikana, Verdi Solaiman",2018,125,"Drama, Fantasy, Horror",TV-MA,5.5,,
https://www.imdb.com/title/tt10773114/,One Day We'll Talk About Today,"Three siblings live in happy-looking families, but one of them changes and gets warned by his parents, prompting the rebellion of the three siblings which led to the discovery of the secrets and great trauma in their families.",Angga Dwimas Sasongko,"Rio Dewanto, Sheila Dara Aisha, Rachel Amanda, Sinyo Riza",2020,121,Drama,TV-14,7.3,,
https://www.imdb.com/title/tt10776270/,May the Devil Take You Too,"Two years after escaping from demonic terror, the young woman is still haunted by unnatural vision. The dangers that await her and her friends are increasingly threatening: the figure of darkness rises to take their lives.",Timo Tjahjanto,"Chelsea Islan, Widika Darsih Sidmore, Baskara Mahendra, Hadijah Shahab",2020,110,"Fantasy, Horror, Mystery",Not Rated,6.0,,
https://www.imdb.com/title/tt1288645/,The Forbidden Door,The life of a successful sculptor is turned upside down when he begins receiving mysterious messages from someone who asks for his help.,Joko Anwar,"Fachry Albar, Marsha Timothy, Ario Bayu, Tio Pakusadewo",2009,115,"Horror, Mystery, Thriller",18+,6.6,,
https://www.imdb.com/title/tt26687781/,Fireworks,4 people intend to commit suicide together by blowing themselves up using a large ball of fireworks.,Herwin Novianto,"Marsha Timothy, Ringgo Agus Rahman, Donny Damara, Hanggini",2023,104,"Drama, Thriller",17+,7.1,,
https://www.imdb.com/title/tt8948208/,Foxtrot Six,"When a rogue regime threatens Indonesia's food supply in a bid for power, a former marine assembles a team of ex-comrades to end the hostile takeover.",Randy Korompis,"Oka Antara, Verdi Solaiman, Chicco Jerikho, Rio Dewanto",2019,114,"Action, Drama, Sci-Fi",TV-MA,5.4,,
https://www.imdb.com/title/tt2787302/,Message Man,A retired assassin's past catches up with him and his brutality surfaces as he goes on a final killing spree to make things right.,Corey Pearson,"Paul O'Brien, Aji Santosa, Verdi Solaiman, Mario Irwinsyah",2018,91,"Action, Crime, Thriller",21+,5.9,,
https://www.imdb.com/title/tt6011480/,The Doll,"Eerie things begin to happen after a man gives his wife a doll, unaware it once belonged to a girl who was murdered. The first of the ""Doll"" films.",Rocky Soraya,"Shandy Aulia, Denny Sumargo, Sara Wijayanto, Vitta Mariana Barrazza",2016,107,"Horror, Thriller",TV-MA,5.2,,
https://www.imdb.com/title/tt26749347/,Induk Gajah,"Ira, a reporter, 30 years old, is chased by her mother every year to get marriage. He was introduced to his mother's friend's son, Marsel, who happened to have a girlfriend.",,"Marshanda, Tika Panggabean, Dimas Anggara, Mikha Tambayong",2023,47,"Comedy, Romance",,8.2,,
https://www.imdb.com/title/tt2409300/,Killers,A psychopathic Japanese executive accidentally triggers a journalist's 'dark side'. They begin to connect over the Internet and make a complicated bond.,"Kimo Stamboel, Timo Tjahjanto","Kazuki Kitamura, Oka Antara, Rin Takanashi, Luna Maya",2014,137,"Action, Crime, Drama",Not Rated,6.4,51,
https://www.imdb.com/title/tt21372280/,Autobiography,"A young man working as a housekeeper in an empty mansion. When its owner returns to start his mayoral election campaign, the young man bonds with him and defends him when his campaign is vandalized, setting off a chain of violence.",Makbul Mubarak,"Kevin Ardilova, Arswendy Bening Swara, Haru Sandra, Rukman Rosadi",2022,115,"Drama, Mystery, Thriller",17+,7.4,,
https://www.imdb.com/title/tt19367194/,Qorin,Life at a boarding school descends into chaos when a teacher instructs his students to perform a forbidden ritual that summons their doppelgängers.,Ginanti Rona,"Zulfa Maharani, Omar Daniel, Aghniny Haque, Dea Annisa",2022,109,"Horror, Mystery, Thriller",17+,5.0,,
https://www.imdb.com/title/tt21279114/,Cigarette Girl,"Amid the evocative blend of flavorful spices to create the perfect kretek cigarette, two souls embark on an epic romance set in 1960s Indonesia.",,"Dian Sastrowardoyo, Ario Bayu, Arya Saloka, Putri Marino",2023,,"Drama, History, Romance",,,,
https://www.imdb.com/title/tt24059512/,Hubungi Agen Gue!,Four artist managers at a talent agency company in Jakarta call themselves agents who are very passionate about their work above their personal lives.,,"Lydia Kandou, Donny Damara, Hannah Al Rashid, Yoga Pratama",2023,45,"Comedy, Drama",TV-14,6.9,,
https://www.imdb.com/title/tt10656188/,The Queen of Black Magic,"Revisiting the orphanage where they grew up, three men and their families discover a horrific supernatural presence lingering in their former home.",Kimo Stamboel,"Ario Bayu, Hannah Al Rashid, Adhisty Zara, Muzakki Ramdhan",2019,99,"Drama, Horror, Mystery",Not Rated,6.5,54,
https://www.imdb.com/title/tt11013610/,KKN di Desa Penari,Six students who had to carry out KKN in a remote village are warned not to cross the boundary of the forbidden gate that leading to the mysterious place that may related to the figure of a beautiful dancer who began to disturb them.,Awi Suryadi,"Tissa Biani Azzahra, Adinda Thomas, Achmad Megantara, Aghniny Haque",2022,130,"Horror, Mystery, Thriller",D17+,5.9,,
https://www.imdb.com/title/tt11799822/,Miracle in Cell No. 7,"A mentally ill man faces the consequences of a corrupt Indonesian politician as he is wrongly accused of murder, and all he wishes is to see his daughter again.",Hanung Bramantyo,"Vino G. Bastian, Graciella Abigail, Mawar Eva de Jongh, Indro Warkop",2022,145,"Comedy, Drama, Family",TV-14,7.7,,
https://www.imdb.com/title/tt24015932/,Dear Jo: Almost is Never Enough,"After the tragic death of Maura, Ella and Joshua's lives are shattered as Ella carries Maura's child, navigating grief, parenthood, and unexpected challenges.","Lakonde, Monty Tiwa","Jourdy Pranata, Anggika Bolsterli, Salshabilla Adriani, Roy Sungkono",2023,104,"Drama, Romance",13+,8.0,,
https://www.imdb.com/title/tt23472308/,A Long Way to Come Home,"Studying abroad in London, Aurora struggles with her relationships while away from her family in this sequel to ""One Day We'll Talk About Today.""",Angga Dwimas Sasongko,"Sheila Dara Aisha, Jerome Kurnia, Lutesha, Rio Dewanto",2023,109,Drama,TV-14,6.7,,
https://www.imdb.com/title/tt27519902/,Sosok Ketiga,"Anton's marriage to Yuni, his wife's friend, triggers a series of supernatural terrors and conflicts, leaving Nuri disappointed and Yuni's mother fearing for the safety of her child and future grandchildren.",Dedy Mercy,"Celine Evangelista, Erika Carlina, Samuel Rizal, Dewi Irawan",2023,99,"Drama, Horror",17+,7.4,,
https://www.imdb.com/title/tt0281048/,Satan's Slave,"After the death of his wife, a businessman and his two kids are plagued by visions of ghosts and demons, and soon, people around them start to die, which all started after the arrival of their new and mysterious housekeeper.",Sisworo Gautama Putra,"Ruth Pelupessi, W.D. Mochtar, Fachrul Rozy, Simon Cader",1982,96,Horror,R,5.9,,
https://www.imdb.com/title/tt22771994/,"KKN di Desa Penari: Luwih Dowo, Luwih Medeni","Enrolled in a community service program, six college students face a haunting mystery in a remote village involving a mesmerizing local dancer.",Awi Suryadi,"Tissa Biani Azzahra, Achmad Megantara, Calvin Jeremy, Adinda Thomas",2022,175,"Horror, Mystery",17+,5.7,,
https://www.imdb.com/title/tt13393058/,Ben & Jody,"Since deciding to leave Filosofi Kopi, Ben has lived in his hometown and actively defending farmer groups whose lands have been taken over by the Company.",Angga Dwimas Sasongko,"Chicco Jerikho, Rio Dewanto, Hana Malasan, Aghniny Haque",2022,114,"Action, Adventure, Drama",TV-MA,5.3,,
https://www.imdb.com/title/tt10540024/,This Earth of Mankind,A native Javanese boy and a mixed-Dutch girl fall in love during the early 20th-century colonial turbulence in Dutch East Indies (now Indonesia).,Hanung Bramantyo,"Iqbaal Dhiafakhri Ramadhan, Mawar Eva de Jongh, Sha Ine Febriyanti, Giorgino Abraham",2019,181,"Drama, History",TV-MA,6.9,,
https://www.imdb.com/title/tt9543488/,Too Handsome to Handle,"Kulin, an overly handsome boy, always avoids entering regular school and chooses to spend almost 100% of his life inside the house. One day, Kulin's handsomeness is exposed to the outside world so his daily life becomes unusual.",Sabrina Rochelle Kalangie,"Ari Irham, Nikita Willy, Rachel Amanda, Calvin Jeremy",2019,106,"Comedy, Drama",TV-PG,6.6,,
https://www.imdb.com/title/tt12719878/,Makmum 2,"Having just lost her husband, Rini's grief increases when Auntie, who raised her, dies. While returning to the village to mourn, Rini's only child, Hafiz, goes missing and is found unconscious in the middle of the forest.",Guntur Soeharjanto,"Titi Kamal, Samuel Rizal, Pritt Timothy, Kukuh Prasetya",2021,92,Horror,17+,4.8,,
https://www.imdb.com/title/tt15157466/,Jingga dan Senja,"Tari and Ari, two teenagers who have the name Matahari. However, destiny bring them together in an atmosphere of war. Ari, the culprit at school, gets angry when he finds out that Tari is being targeted by Angga, Ari's personal enemy.",,"Abidzar Al Ghifari, Yoriko Angeline, Giulio Parengkuan, Keisya Levronka",2021-2022,,"Drama, Romance",13+,6.0,,
https://www.imdb.com/title/tt10037602/,Kanibal - Sumanto,A cannibal / killer is captured in a small Indonesian village and recounts his crimes to a young journalist. Based on a true story.,Christ Helweldery,"Akbar, Aty Cancer, Farah Diana, Chandra Lois",2004,103,"Crime, Drama, Horror",,5.5,,
https://www.imdb.com/title/tt19844972/,Bismillah Kunikahi Suamimu,"Cathy said, which actually made Hanna's heart, Malik's wife, feel relieved. A promise that changes the way of life of three people who are full of love and sacrifice.",Benni Setiawan,"Mikha Tambayong, Syifa Hadju, Rizky Nazar, Refal Hady",2023,110,"Drama, Romance",13+,7.5,,
https://www.imdb.com/title/tt26347632/,Para Betina Pengikut Iblis,"Three women in a small village conceal dark secrets, including unholy alliances and a mysterious ingredient used in a popular curry restaurant.",Rako Prijanto,"Adipati Dolken, Mawar Eva de Jongh, Hanggini, Sara Fajira",2023,90,Horror,TV-MA,4.2,,
https://www.imdb.com/title/tt24655170/,Khanzab,"After his father was beheaded by ninjas in Banyuwangi '98, Rahayu was traumatized to the point where he found it difficult to concentrate on his prayers due to interference from the khanzab.",Anggy Umbara,"Tika Bravani, Yasamin Jasem, Arswendy Bening Swara, Munggaran",2023,105,"Horror, Thriller",13+,4.6,,
https://www.imdb.com/title/tt1620584/,Raped by Saitan (Diperkosa Setan),,Petruska Karangan,"Cynthiara Alona, Winda Amanta, Anggun, Daffy",2010,84,Horror,,5.0,,
https://www.imdb.com/title/tt10994712/,Sri Asih,"Alana was separated from her parents and was adopted by a rich woman. As she reaches adulthood, she discovers the truth about her origin.",Upi Avianto,"Pevita Pearce, Ario Bayu, Christine Hakim, Jefri Nichol",2022,135,"Action, Adventure, Drama",TV-14,6.8,,
https://www.imdb.com/title/tt14760100/,Virgin,A group of teenagers creates an investigative documentary to unravel the mystery behind the death of a popular teenage girl at school.,,"Adhisty Zara, Lutesha, Shalom Razade, Laura Theux",2022,52,"Drama, Thriller",TV-MA,6.4,,
https://www.imdb.com/title/tt19390218/,Between Two Hearts,"Sekar and Ivan's marriage crumbles when she finds a strand of blonde hair. An adaptation of ""Doctor Foster"", known by its K-drama ""TWOTM"".",,"Adinia Wirasti, Chicco Jerikho, Tatjana Saphira, Bima Azriel",2022-2023,45,Drama,TV-MA,7.5,,
https://www.imdb.com/title/tt28307306/,Susuk: Kutukan Kecantikan,"Ayu searches for a cure to save her dying sister Laras, who is a sex worker cursed by a magical amulet, while they face escalating terrors in their ancestral village.",Ginanti Rona,"Hana Malasan, Ersya Aurelia, Jourdy Pranata, Whani Darmawan",2023,102,Horror,17+,,,
https://www.imdb.com/title/tt14011910/,Susah Sinyal: The Series,"Entrusted by her sister, Tante Maya brings her trusted but rustic employees, Yos and Melki, from Sumba to manage a hotel in Anyer.",,"Abdur Arsyad, Arie Kriting, Asri Welas, Boris Bokir",2021-2022,45,"Comedy, Drama",TV-14,7.1,,
https://www.imdb.com/title/tt14631244/,Wedding Agreement: The Series,Tari and Bian sign a wedding agreement ending their marriage after one year.,,"Indah Permatasari, Refal Hady, Susan Sameh, Ren Hanami",2022,,"Drama, Romance",TV-14,7.2,,
https://www.imdb.com/title/tt1495818/,Keramat,"A group of filmmakers travels to Bantul to prepare for shooting. After several supernatural occurrences, the main talent gets possessed and is taken to another dimension. The crew enlists help from a paranormal and embarks to find her.",Monty Tiwa,"Poppy Sovia, Migi Parahita, Sadha Triyudha, Miea Kusuma",2009,80,Horror,D,6.8,,
https://www.imdb.com/title/tt10698426/,Lampor: The Flying Coffin,"Edwin and Netta with their two children, Adam and Sekar going to Netta's hometown at Temanggung. Netta were suspected as the cause of Lampor terror at her hometown, a demon who bring a flying casket.",Guntur Soeharjanto,"Adinia Wirasti, Dion Wiyoko, Nova Eliza, Rendra Bagus Pamungkas",2019,95,"Drama, Horror, Mystery",13+,5.3,,
https://www.imdb.com/title/tt23129678/,Bayi Ajaib,A newly rich and recently married man's comfortable life threatens to crumble when his infant child is possessed by an unholy spirit with a grudge.,Rako Prijanto,"Vino G. Bastian, Adipati Dolken, Desy Ratnasari, T. Rifnu Wikana",2023,99,Horror,17+,5.2,,
https://www.imdb.com/title/tt13834788/,Yuni,"In her last year of secondary school, a bright Indonesian student is determined to pursue her education and resist getting married, despite the expectations of her community.",Kamila Andini,"Arawinda Kirana, Asmara Abigail, Sekar Sari, Marissa Anita",2021,95,Drama,TV-MA,7.4,,
https://www.imdb.com/title/tt7161990/,Hide and Seek Minako,A group of former schoolmates gets haunted after playing a famous deadly hide and seek game called 'Hitori Kakurenbo'.,Billy Christian,"Regina Rengganis, Gandhi Fernando, Miller Khan, Ario Astungkoro",2017,90,Horror,17+,7.4,,
https://www.imdb.com/title/tt5262426/,Misteri Rumah Tua,Noor Kumalasari stars as Salmi and is the main antagonist in this flick. A group of high schoolers went on a nature trip and came across an old cave which leads them to an old and abandoned...,Liliek Sudjio,"Noor Kumalasari, Rani Soraya, W.D. Mochtar, Bram Adrianto",1987,77,"Adventure, Horror, Thriller",,6.3,,
https://www.imdb.com/title/tt10284716/,#Malam Jumat: The Movie,"To provide a different experience to his subscribers, Ewing tries something new by exploring a playground called the Wonder Park that had been abandoned for a long time. With his team, Agan...",Hadrah Daeng Ratu,"Ewing H.D., Zoe Abbas Jackson, Dea Annisa, Randy Pangalila",2019,91,"Horror, Mystery, Thriller",17+,5.4,,
https://www.imdb.com/title/tt15368302/,Princess for a Prince,"The story of a girl who does not realize that she's actually an angel descendant, Putri is pursuing her education in Bunga Bangsa University while trying to support her single mother. At ...",,"Ranty Maria, Verrell Bramasta, Harini Sondakh, Evan Marvino",2020-2022,,"Drama, Fantasy, Romance",,8.4,,
https://www.imdb.com/title/tt21848644/,Jin & Jun,27 Years On. The story of Jin and Jun will start again. Will this time last forever?,Anggy Umbara,"Rey Bong, Dwi Sasono, Alif Rivelino, Clay Gribble",2023,115,"Comedy, Fantasy",SU,4.3,,
https://www.imdb.com/title/tt5882416/,Kartini: Princess of Java,"This movie follows the story of the Indonesian heroine named Kartini. In the early 1900s, when Indonesia was still a colony of the Netherlands, women weren't allowed to get higher education. Kartini grew up to fight for equality for women.",Hanung Bramantyo,"Dian Sastrowardoyo, Ayushita, Acha Septriasa, Deddy Sutomo",2017,122,"Biography, Drama, Family",TV-G,7.5,,
https://www.imdb.com/title/tt27554460/,Dunia Tanpa Suara,"The opening day of Tea Shop ""Yang Bercerita"" will be the day that will change the story of Arissa's friendship with Kania and Arissa-Ezra's imperfect love.",Hanung Bramantyo,"Caitlin Halderman, Maxime Bouttier, Nasya Marcella, Chindy Karomah",2023,87,"Drama, Romance",13+,8.1,,
https://www.imdb.com/title/tt6496236/,Danur,This movie follows the story of a girl who befriends with 3 ghosts.,Awi Suryadi,"Prilly Latuconsina, Sandrinna Michelle, Shareefa Daanish, Asha Kenyeri Bermudez",2017,74,"Horror, Mystery, Thriller",TV-14,5.3,,
https://www.imdb.com/title/tt10495746/,Two Blue Stripes,"A young couple violated the boundary without knowing the consequences. They try to take responsibility for their choices and their innocence is tested when the families who really loved them knew, then forced into their chosen journey.",Gina S. Noer,"Adhisty Zara, Angga Yunanda, Cut Mini Theo, Arswendy Bening Swara",2019,113,Drama,TV-14,7.8,,
https://www.imdb.com/title/tt9547812/,Satu Suro,"Bayu brings Adinda to hospital to give birth. Bayu goes back home and when he returns to the hospital he finds an empty, vacant old building.",Anggy Umbara,"Citra Kirana, Nino Fernandez, Alexandra Gottardo, Willem Bevers",2019,94,Horror,17+,6.2,,
https://www.imdb.com/title/tt13376972/,Imperfect: The Series,"This series takes place a year before the film ""Imperfect."" At that time Dika had not yet met Rara, and was working on a photography project outside the city. The common thread of conflict is in Neti's love story.",,"Kiky Saputri, Aci Resti, Neneng Wulandari, Zsazsa Utari",2021-2023,,"Comedy, Drama",TV-14,8.4,,
https://www.imdb.com/title/tt13642366/,The Ballads of Roy,"Based on the novel by Gol A Gong, follows the story of heartthrob Roy as his teenager life is filled with romance, friendship, conflict and sacrifice.",Fajar Nugros,"Abidzar Al Ghifari, Febby Rastanty, Juan Bione Subiantoro, Jourdy Pranata",2022,109,"Action, Drama, Romance",13+,7.3,,
https://www.imdb.com/title/tt20765928/,Kejar Mimpi Gaspol!,"A single mother from Bromo does not dare to pursue her dream and carry out her passion, which is writing, because she thinks that her only duty is to make her daughter's dream come true.",Hasto Broto,"Asri Welas, Tora Sudiro, Michelle Ziudith, Nopek Novian",2023,113,Drama,13+,8.6,,
